,AICAR,Camptothecin,Vinblastine,Cisplatin,Cytarabine,Docetaxel,Methotrexate,ATRA,Gefitinib,ABT-263,Vorinostat,Nilotinib,RDEA119,CI-1040,temsirolimus,AZD-2281,ABT-888,Bosutinib,lenalidomide,Axitinib,AZD7762,GW 441756,CEP-701,SB 216763,17-AAG,VX-702,AMG-706,KU-55933,Elesclomol,BIBW2992,GDC-0449,PLX4720,BX-795,NU-7441,SL 0101-1,BIRB 0796,JNK Inhibitor VIII,681640,Nutlin-3,PD173074,ZM-447439,RO-3306,MK-2206,PD-0332991,NVP-BEZ235,GDC-0941,AZD8055,PD-0325901,SB590885,AZD6244,AZD6482,CCT007093,EHT 1864,BMS-708163,PF-4708671,JNJ-26854165,TW 37,CCT018159,AG-014699,Doxorubicin,etoposide,Gemcitabine,Mitomycin-C,Vinorelbine,NSC-87877,Bicalutamide,QS11,Midostaurin,CHIR-99021,AP-24534,JNK-9L,PF-562271,DMOG,FTI-277,OSU-03012,shikonin,AKT inhibitor VIII,embelin,FH535,pac-1,IPA-3,GSK-650394,BAY 61-3606,thapsigargin,Obatoclax Mesylate,BMS-754807,OSI-906,Bexarotene,Bleomycin,LFM-A13,AUY922,Bryostatin 1,Pazopanib,LAQ824,Epothilone B,GSK-1904529A,Tipifarnib,AS601245
DMS-273,4.151053539,-2.216644681,-2.469074875,0.98676831,0.163258244,-3.073085994,0.568847598,2.023727598,1.10935227,1.914894704,0.332108465,2.263429923,1.807870212,2.5774396,-0.13684098,1.845141364,2.760243701,2.334890474,2.762799959,0.462707764,-0.122305143,1.630191653,0.466143902,2.102697101,-0.469596109,1.979945503,2.082626182,1.650858425,-2.151394107,1.512313274,1.221970475,2.809497473,0.935193234,1.878691482,2.352862449,2.146064879,2.456773918,1.955215038,2.631838023,1.906829421,0.838820249,1.636323023,0.181726617,1.821051918,-1.215573752,0.457078439,-0.113948883,0.513173217,2.62220624,1.503978294,0.563123598,2.645010609,1.13288886,2.727561739,1.652661616,0.970665973,-0.999131805,1.433747665,2.242195094,-1.102926883,-0.241482498,-2.512890411,-0.793621919,-2.567522919,3.248335544,1.802356843,1.164469017,-0.489621862,2.06302126,0.440329438,-0.979284113,0.960232917,1.203168998,1.5382463,0.657750719,-0.402530183,0.618188663,0.608461769,-0.143109152,2.049745746,2.476908679,1.295921705,0.820051344,-3.744677678,-1.54553767,-0.129744608,2.050194807,1.873816526,0.474326879,2.652366255,-1.458508096,-1.218373648,0.695658113,-1.628538729,-2.79058916,0.925865892,-0.142732184,0.171745227
DMS-53,4.928824578,-1.777518239,0.674665186,2.815507674,0.985438934,-0.229904641,1.383858955,2.97310185,1.733240614,-1.041458145,0.789750618,2.238490997,2.186992357,2.727741971,0.953366721,2.669690262,2.606449168,2.243969622,2.360153384,2.11006013,1.773533153,1.257622578,1.164180211,2.782924732,1.374691433,2.234021672,1.560007928,2.623191655,0.97668486,1.455345129,2.925863205,2.84025942,2.259912138,2.207827201,2.042255469,2.121182411,2.505491336,1.97026421,2.823676753,2.063104645,1.419851544,2.507162501,2.19476232,0.800584094,-0.142674423,2.419615248,0.805240165,0.2401731,2.530666952,2.445355882,1.644145148,2.515404107,1.414747715,1.623350212,1.6467804,2.076528253,0.121006169,1.865349955,1.66087369,0.790359933,2.219342519,0.016258683,-0.092289749,-0.037894365,3.449140718,2.121175463,2.822025566,1.506551923,2.554744239,1.088664652,0.033507122,1.909700108,2.257711568,2.190407649,3.060259975,1.331563819,2.129323696,1.191169876,0.039675407,2.162932877,3.338462506,2.726778706,2.856179353,-0.420621154,-0.320491087,1.215481247,1.423471823,2.222171513,2.504387793,2.956799304,-0.910925727,-1.017969328,1.599395397,-0.249014033,0.025725868,1.141586909,1.834123748,1.403951155
DMS-79,4.099503219,-1.845680758,0.713179289,1.149747737,2.161081914,-0.228172241,-0.381003075,2.489004648,1.620087358,-0.712043609,1.390267404,2.429940165,2.824086727,2.733939788,0.493903571,1.959643104,2.741689773,2.291467106,2.586336991,2.277127571,-0.012526356,2.330979653,0.7070844,3.007181372,0.107533919,2.311512402,2.380620815,2.992106142,0.537100672,1.602150127,2.856674448,2.744398902,2.322156526,2.025313207,2.853217898,3.205692603,3.044428639,1.748159932,2.394499998,2.094969699,2.539072288,2.426329006,1.678980296,2.649009159,-0.111613248,1.554102392,0.336867464,1.521462556,2.702225867,2.29435473,2.01171653,2.845520029,1.441310903,2.787305025,1.666730585,1.329724148,0.178057698,2.126211107,1.356697309,0.463875582,2.04348018,0.973187921,0.392982654,-0.269370284,3.466947226,2.171429414,2.33833139,1.820208518,2.652903912,1.319086104,0.631674375,2.410692668,3.831310307,2.109354835,2.087426004,2.434011241,1.883661548,2.897141139,3.101816746,1.914010046,3.549858819,3.162187153,2.219311684,1.863609737,2.424089349,1.821071896,2.569656608,3.225305776,2.512229849,3.180635114,-0.108769053,-0.084639217,2.54915096,-0.997155331,-0.249544306,2.150033897,2.132530961,2.717162992
DOHH-2,3.118267821,-3.220237125,-2.742442839,0.626396829,0.139437192,-2.018310643,-1.666264153,1.484854137,9.21E-05,-0.386970281,-0.150778793,2.044566785,2.590317734,0.913864164,-1.774226287,0.915705572,2.167097761,0.737181442,2.126701426,1.320271294,-0.883939537,2.242916458,-0.734170913,2.029283962,1.696055452,1.825988543,2.219424166,2.671761412,-0.484055509,1.312734547,2.412973148,1.944115774,0.163798941,2.160868241,2.01569011,2.794850023,2.533185426,0.992570918,0.384315439,1.587888331,0.14698219,2.438887934,0.107899595,0.871584727,-1.333783064,0.734198274,-0.100560453,1.026942286,1.910137877,1.834504624,0.667745572,2.478613319,2.195172648,2.5539504,2.323958619,1.938146632,-0.024340989,2.120742275,2.373992168,-1.699250991,-0.459261637,-0.708545367,-1.027677981,-2.297637562,3.079488364,2.069082708,1.034804319,1.59034166,2.539890933,-1.31851023,-0.14596073,2.14419307,2.449451713,1.762652773,0.743722352,-0.151037198,1.638338584,0.879304312,1.236446379,1.622713537,1.547934107,1.740049917,0.307912616,-1.65250831,-1.850114905,2.007599638,2.563443591,2.229634429,0.723333529,2.74498129,-0.73121467,-1.639468618,2.237533812,-1.596121251,-2.077279582,2.160565972,0.898105354,1.368572658
DOK,2.766428489,-1.746996457,-2.350077318,1.395726051,0.583437287,-2.788531907,0.405710956,1.418202962,-1.407043766,0.664054069,0.181572008,1.468570699,-0.959107225,-0.4933442,-1.193495523,1.191797432,2.219951834,-0.304107328,1.135007348,0.577073136,-0.139879304,1.692226277,-0.771981025,2.399533037,-1.694891977,1.001177332,2.218444398,1.866050038,-1.693561299,-1.677800752,0.864212144,1.54857556,0.544940556,1.321872538,2.141751032,2.428723272,2.78287001,0.29064029,1.431432441,1.652710257,1.368186135,0.68846055,-0.189655097,0.904892508,-1.683990751,-0.806520031,-0.726403122,-1.891983499,1.145982838,0.563946151,0.429605612,2.266974635,2.268322685,1.58237974,1.539843635,0.975187413,0.12780114,0.912794496,2.073952018,0.007586256,1.972338401,1.924585117,0.712237304,-0.936247701,2.920039316,2.043962681,2.550201084,-0.196065284,2.266332313,0.526579019,-0.066503948,1.337831991,4.603160609,1.298567427,1.887502448,0.71476403,0.685296281,1.071807512,1.722647303,2.268033879,2.814467105,3.09124819,2.652517824,0.575130102,-0.071603868,-0.710329883,-0.254924346,1.355482153,2.508393726,3.165206368,-0.586194623,-0.327994827,2.221651228,-0.081159216,-0.019967557,1.188653574,1.989030075,0.913445069
DoTc2-4510,3.588745113,-2.412358187,-1.695617683,1.27861203,0.404265624,-2.045415396,1.107750592,1.805196261,0.308165376,0.828561779,0.258023472,1.710955227,1.406552144,1.733916376,0.094089031,1.041981904,2.656871192,0.50587403,2.280377831,1.555129064,-0.124114849,1.366496296,0.124487907,2.678138158,-0.603967256,1.748000546,2.087409067,1.415987626,0.990989652,-0.081647797,2.5440784,1.943959862,0.369168116,2.071460905,2.965409192,2.769897633,2.896524007,1.659367122,2.650502697,1.213830494,2.583589644,1.872075005,1.452044057,2.385460158,-0.102966879,0.916318362,0.576106831,0.253563268,1.642521708,1.507116072,1.911800977,1.878000953,2.278596355,2.540626628,2.394962521,1.477357345,0.168848917,1.01005214,1.372199451,-1.440717223,0.020489579,-3.045193431,-0.743830925,-2.444543317,2.842383554,1.900258111,1.542348646,-0.537568407,1.752859867,-0.259965637,-0.647874862,1.046843831,2.186033869,1.817676581,0.313350417,-0.580395054,0.535549806,1.15369504,0.182941773,1.174131201,1.019989666,1.225401836,0.027155131,-1.90707002,-1.469480112,0.492466491,0.736692427,1.436825075,-0.422112087,2.352971891,-1.673354011,-0.643928428,1.317992985,-1.755867791,-3.072501868,1.14259013,0.22467009,0.317286863
DSH1,4.00858888,-1.802674747,-1.634252741,2.160062191,0.532607027,-1.714453035,-0.27349999,2.470207949,-0.246507285,1.653244005,0.335252757,1.071709796,1.088686367,1.734613419,-0.4132312,2.37488943,2.281697652,0.561246576,2.598162829,2.323109802,0.228543128,1.001999886,-0.003622885,1.892840362,-1.419418118,1.856967637,2.346269424,2.80453175,-1.632246301,-1.479670398,3.005616175,2.170710223,1.023561738,2.092295314,2.399377125,2.947310404,1.882980574,1.373816763,2.639827739,2.175274223,1.473652379,1.65995646,0.96419846,0.849007929,-0.390506306,1.070431233,0.304864303,0.58770727,1.823591672,2.264094828,1.218710883,2.037694943,0.699663611,1.855348588,1.036942351,0.510942246,-0.286838476,0.946425392,0.910983488,-0.428615213,0.373166665,-1.015478649,-1.015355744,-2.312630276,2.828660283,1.893407984,0.833982208,0.010254561,1.126711455,0.891961824,-0.1494264,1.423911329,1.98332692,1.547449869,3.111746455,1.024657897,-0.005584158,2.882822885,-0.022730539,2.081386705,3.140739086,3.285166756,2.766850189,-1.857428424,0.650420697,1.779719678,2.169887669,2.3251119,2.189003575,2.038699466,-1.202754681,-1.110893147,2.013023108,-1.475277509,-0.524870939,1.140508991,0.930948006,1.090162968
DU-145,3.830409146,0.358304674,-1.005879438,1.04599218,1.717052721,-1.883744932,0.004640002,1.703761139,-0.659468788,-0.046128588,2.873995849,1.832505132,0.02400085,2.002439351,-0.253809513,2.337920547,1.143181204,1.83084439,2.527194334,0.615766168,1.608841737,0.603443062,0.334386774,1.066456136,0.445856704,-0.837017926,-0.328507295,0.515015494,-0.300653818,-0.348405799,1.262925313,2.136642861,2.632596302,1.993401683,2.0011812,0.595287446,1.298302942,-0.793171121,2.515206503,0.199252137,2.097879907,2.321910715,-0.188792154,0.539413724,1.161523198,2.180499655,0.83060774,1.307059621,1.78910869,2.126304915,1.286173901,2.880294856,2.560280625,2.212218352,2.292799956,1.198060827,-1.28292718,0.914926014,1.703170498,-1.132360323,-0.228230436,-2.031983536,-2.185831922,-2.31753433,3.233839228,1.992170024,0.895553874,-0.496355598,2.041176248,0.033717321,-0.318801247,0.396405763,2.916213616,1.080565495,0.362782684,-0.714243745,1.247740207,0.942472444,0.671619479,2.291851457,0.914588567,1.311657931,0.901556258,-2.064044024,-0.330410373,0.285529947,1.847024465,2.199343258,-0.084839861,2.64856835,-1.889266987,-1.099430813,1.169102071,-1.473900795,-3.141967271,1.278457421,0.93730738,1.079898853
EB2,3.996422121,-2.747881509,0.431396001,2.786312228,2.374568487,0.124491382,-1.13643748,2.965755759,0.730064659,2.144720738,0.281116212,2.397540493,2.857128286,2.067540094,1.084691292,2.720897056,2.772601117,2.412665233,2.720991298,2.437568547,-0.506869867,2.499078543,1.488029698,3.117827446,2.118922343,2.387409706,2.315768923,3.171544896,-0.794647722,1.829698287,3.070221822,3.142843243,2.751898733,2.481964301,3.147863253,3.030890377,3.037482967,2.526354408,3.063885466,2.451568898,2.836435022,2.886636859,2.496025019,2.80501816,-0.47085122,2.04565643,0.080021798,1.493243837,2.848390715,2.72613291,2.512563314,2.280794319,2.469245987,2.595791581,2.450322908,2.675789928,-0.269477989,3.214332892,2.891267741,-1.472005534,-0.407316543,-2.696276033,-1.18471626,-2.173894036,3.259751408,1.845281641,2.229636167,1.07906631,2.383647847,-1.253691778,-0.235886179,1.249018335,2.472187029,1.735951914,0.846567194,-0.507309807,0.88956365,0.790125414,1.802247401,0.694263159,0.652384142,1.316337454,-0.077256645,-1.981870296,-2.927056212,0.993802143,2.527737636,2.055210474,-0.160503949,3.236723812,-1.137541456,0.258951559,0.516096888,-1.530488063,-2.432654505,2.220017847,0.434296219,1.062326429
EC-GI-10,3.594163371,-2.102147284,-2.452132178,1.121039569,-0.254162594,-3.134390135,1.026352949,2.111615338,-0.103184895,2.084245231,0.513420765,2.080216282,0.07756152,1.182861388,-0.283912635,2.650438856,2.704883315,0.501419471,2.676207719,1.641818151,0.249334976,1.921523341,-0.271528293,2.80777897,0.060193649,2.256470354,1.625934699,2.241263533,-1.350412634,-1.22823083,2.643491013,2.647365788,0.650388559,1.948573807,2.536352736,2.933622745,2.335719977,2.234022541,2.679078406,2.121345706,0.971724349,1.760770541,0.136414068,1.084088057,-1.816293788,-0.178680042,-0.265274018,-1.152732643,2.497890748,2.47224783,2.665695187,2.220522931,1.6299567,2.076087444,2.055415461,1.43571719,-0.328067789,0.604160951,2.263270971,0.938862588,2.442801796,1.786254941,1.173572264,-0.912692871,3.515989061,1.784526449,2.755538555,1.669748063,2.700849588,2.001324952,0.350106931,2.06372612,3.843204764,2.105507855,2.117344551,1.759266579,2.748628061,2.392379772,1.052020187,2.680773891,3.005464172,3.146046599,3.258757308,-0.449554721,1.78484913,1.730622252,2.651162825,2.873198919,2.484462363,3.254235869,-0.108043347,0.03795256,2.21501738,-0.377916109,-1.195820301,2.392594314,3.279110085,2.180507038
EFM-19,2.535587075,-0.896557963,-2.280525491,2.388558415,0.474302124,-2.586912431,1.024991436,2.122170866,1.755484743,1.197628704,0.020689789,2.176163224,-2.04732716,2.691563503,-1.08903858,2.060960533,2.819168777,1.256661918,2.672220027,0.7337883,0.170566986,1.047067058,-0.822203273,3.037123805,-0.166677879,2.030232895,1.754026816,2.868848157,-1.083463976,1.577453972,2.490532931,2.881457897,1.791532922,2.230358833,2.711705647,2.218088711,2.894707787,1.690524711,1.538754425,1.020350565,1.256438257,0.560030986,-0.687310538,-0.088340275,-4.363689329,-0.39584422,-0.596508682,0.559204958,-3.032400853,1.409193958,0.991758496,2.823636798,2.140921096,2.502709679,2.305038375,2.040536098,0.200302695,2.050928765,1.848349932,-0.32032345,-0.061721063,1.383867206,0.319930413,-2.219310815,2.826889664,1.954732971,2.827674434,-0.673399652,0.989256817,1.149563596,-0.119384947,1.38353584,3.032908978,1.102370552,0.957684477,-0.673455242,-0.248659214,0.691160993,0.735682258,0.290439212,1.43664962,1.402864984,2.757899814,0.981948075,-0.907484378,1.428465775,1.323697443,1.309226751,-1.830675449,2.547761218,-0.479754257,-1.523102886,0.950499075,-1.596088245,-1.974121614,1.278555572,0.243803802,0.73195688
EFO-21,4.972927183,-1.00716495,-0.924156074,2.463398646,0.992029787,-1.862950044,0.479526686,2.349828033,0.98169879,1.887250557,1.732197438,2.447065265,1.194016676,1.518579709,0.113722616,2.618463491,2.717254194,2.116540238,2.746677645,2.260821116,0.338034413,2.216322001,0.838987452,3.055978266,0.55259543,2.287396898,1.756398064,2.561708585,-0.825696304,1.045498821,2.941486515,2.936681915,0.835942613,2.224694764,2.357114626,2.194668512,2.800835904,1.795426372,1.608326663,2.203631916,0.492753994,1.838796756,1.59033862,2.045276856,-0.541093575,0.99006417,0.412904176,0.016729023,2.453511498,0.504098634,1.081607538,2.084417212,2.051930682,2.014384621,2.034817742,1.081579138,0.415381392,2.225911657,1.586331385,-0.441475107,1.073730134,-1.27034176,-0.228307741,-1.663262744,2.90360127,1.806232487,1.928081622,-0.886998273,2.218667625,-0.516975465,-0.039732734,1.000404722,2.414546597,1.815782189,2.121151576,0.126647654,0.646862088,1.19258915,1.046312689,1.20515329,1.8817272,2.273806521,1.469781512,-1.785375061,-0.075258456,0.204385932,2.026089292,2.439519832,0.636515022,2.624645673,-1.046211064,-0.339078891,1.427381776,-1.251603256,-2.007710383,1.671079176,0.629612779,0.924784498
EFO-27,3.224113638,-1.091595272,-2.127875758,1.119934289,0.287726174,-2.899272222,-0.246103391,2.580208661,-0.342233606,1.884728609,0.097058737,1.989502587,-0.016741618,0.680033066,-1.480406092,1.966262621,2.501174883,0.227680619,2.442537745,1.773382453,-0.366039024,1.776974937,0.014177109,2.407738162,-1.000151963,1.611386702,2.209907471,2.230075673,-2.11249739,-1.285499506,2.628574735,2.273608483,1.022274489,0.668874738,2.577022677,2.600016832,2.975543019,0.905375009,2.421891819,1.362955493,1.240368492,1.797827152,0.962090829,0.365596044,-1.613850455,1.169150712,-0.167624641,-0.7427048,2.612091956,0.52193728,0.889047052,2.140470298,1.560351455,2.188081568,1.777738426,1.276450981,-0.931025744,0.633691673,2.041190145,-1.01128293,0.526050483,-2.043551838,0.053546338,-2.237349237,3.119279293,2.049106465,1.667874083,-0.27964048,2.205702198,-0.103842851,-0.384509134,0.401206888,2.733145897,1.849063912,0.824469856,-0.481041506,1.599404952,1.94857511,0.684021192,0.476242552,2.204588232,1.187685532,0.313824233,-1.595406837,-0.469151391,1.388067268,2.259198592,1.728267508,-0.243336501,2.804150439,-1.992779773,-0.379038326,1.965315425,-1.878577262,-2.771896257,1.322068404,-0.14646842,1.336924316
EGI-1,4.46836646,-1.600920205,-1.966372497,1.045396762,0.045002897,-2.337742921,1.300405361,1.547674399,0.934543095,1.627652768,0.449852647,2.15973039,0.116537713,0.557005691,-1.657726358,2.363093992,1.802810681,0.747363476,2.128298761,1.337367296,0.255917144,1.558288122,-0.242878755,2.436623957,1.29221283,1.896588757,2.272319931,2.691514863,-2.076959073,1.456256279,2.68716106,1.460664802,0.900178676,1.218444004,1.752705258,2.971613089,2.35389911,1.586146376,1.741837907,2.200399028,1.149070238,2.307948582,0.641253609,0.392490598,-1.784344914,0.266469197,-0.868685811,-1.018586461,2.46297434,0.262024627,2.181007812,2.920276875,1.839202822,1.879629123,2.559164053,1.620882986,0.09581622,2.377996807,2.477623962,-0.223099247,0.514565565,-0.669875352,0.378505447,-0.886243903,2.301359466,2.05613031,2.929023566,0.114240295,2.311399486,1.435681578,-0.163678642,1.039237597,2.51682121,1.466612031,0.853116789,0.399860575,1.511975393,1.363166126,1.394775381,2.353381865,3.486341514,1.638937041,2.739889188,-1.662641703,0.198725772,0.397228316,1.21606103,2.546752351,-0.112205191,3.111948836,-0.745448238,-0.434239327,2.469746294,-1.181955884,-1.134283379,1.903400232,1.062879286,2.01424695
EKVX,3.414199121,-0.360140436,-0.555618988,2.685401299,2.336648933,-1.170203876,0.960442681,1.66216919,0.311624965,1.313993133,0.856890373,1.845268671,0.699942428,1.369047341,-0.256589432,1.863816027,2.301842836,0.787814967,1.573117976,2.20166239,0.301363455,1.372978141,-0.217542883,2.501812391,0.013346304,1.9186735,1.369985852,1.499476832,-1.403331416,0.004596139,2.784302313,2.539451861,0.956775933,0.625851355,2.629763399,2.720316404,3.138244933,1.35387312,2.535244851,1.861436962,1.421954929,2.21708853,1.080312301,2.195848056,-0.997382032,0.005565049,0.056907777,0.429521151,2.655347252,1.996383115,1.349332694,2.307982023,2.009871433,2.713019388,2.59966462,1.634476403,0.853773442,1.441885909,1.870066393,-0.059549156,2.651721762,1.44384892,-0.049149107,-0.541993868,3.266485579,1.819317346,1.709162459,1.161773786,1.788845508,1.813446553,0.454011451,1.69612103,2.709830364,1.599295944,2.569040779,0.565147844,0.861416156,1.671133029,0.878551679,1.342921054,2.874082708,3.135703441,1.567001806,-0.601244229,0.219107212,-0.454997734,0.128940294,-0.783215789,2.615929817,1.616219966,-0.979509512,-1.341547381,1.897888166,-0.127086291,-1.472493247,1.763530482,1.322174372,1.047968654
EM-2,2.256651455,-2.378021997,-2.434667026,2.098608653,-0.971770384,-2.392739368,-1.624495447,0.910195678,1.459197321,-1.046481195,-0.021453279,-3.870945759,-0.526450468,0.123237139,-0.744647399,2.377917332,2.710107444,-0.688310719,2.11957639,-1.027890786,-0.965159553,1.513860665,-0.669516191,1.537435038,0.173571001,1.857205196,2.291620847,1.24522043,0.063939005,1.193598451,2.623133025,1.920581356,0.365140469,2.105231209,3.171229164,3.011705852,2.770551681,0.897721872,2.059935598,1.924055712,0.48318084,2.424002056,-0.20117085,0.101685276,-1.151339861,0.178216649,-0.745701866,-1.574140739,2.936240237,2.212687824,2.375340072,2.910010154,2.011742373,2.553928199,2.662738076,1.05534558,-0.077354796,0.921165957,2.854278446,-0.48757286,0.198056958,-0.796158633,0.014409891,-1.348767961,3.407322502,2.194962529,2.14022579,0.194662947,1.270092041,-15.84542656,0.059414525,0.54241991,2.369014729,1.896475406,1.548341475,-0.010137736,1.909617592,1.557903771,1.212924121,2.319228512,3.495719235,1.656076907,1.021680809,-1.25667017,0.561077636,1.367395285,2.605016865,1.422014765,1.928154149,3.148350965,0.343001439,-0.411559166,2.005260528,-0.546117928,-1.304957202,2.075840765,1.501319109,1.150280616
EoL-1-cell,1.996510797,-2.653675219,-2.852358864,1.526759211,-0.34057547,-2.149278224,-2.23045872,-2.569917619,0.814636995,-1.400615339,-0.560839642,-4.117601138,-0.522622597,-0.199587412,-0.647299856,1.141601675,2.130781188,0.067129332,1.897043029,-5.203937538,-4.827965765,1.256087781,-1.996079543,1.904551112,0.252908351,0.894964102,-4.681421344,1.850104482,-1.774397399,0.623522668,1.046817339,0.754823787,-1.331253298,0.765615571,2.449404809,0.125327833,2.891963481,1.273343604,0.325665706,0.492945517,-0.503905373,2.539787137,0.962823049,-0.17487041,-1.393011277,-0.056566856,-1.092248016,-0.999579563,0.936073983,1.535887647,1.423443984,1.772750554,0.748178213,2.425005276,0.857359411,0.040909237,0.513340421,0.942654848,1.226583985,-1.556227829,-0.520397706,-3.210253998,-0.789433149,-2.041610976,2.890927688,2.305149554,0.273932113,-1.28333976,1.339223471,-7.445011284,-0.300301605,1.652377587,2.08741341,1.479914905,0.297658923,-0.293493605,1.432565515,0.827982864,0.694386498,1.115325122,1.961573978,1.054187316,-0.477878539,-1.616495308,-0.940545914,0.937996605,0.78997732,1.366389025,0.383083779,2.72260861,0.201094414,-1.815017396,-4.539250268,-1.569525492,-1.889568821,1.921982824,0.826870202,0.395379091
EPLC-272H,2.755016099,-1.137890195,-1.967550738,1.115320779,0.16134344,-2.8526012,0.71596746,3.013390046,0.268458265,0.97204399,0.642414912,2.369045564,-0.733340108,0.698682105,-0.035658617,2.800742965,2.795103651,0.477461182,2.880944127,1.287147219,-0.656233294,1.468398719,-0.811110523,2.928883289,-1.207273516,2.389874762,1.403327508,1.671638113,-1.535687437,0.644962918,3.124489089,1.935344763,0.720110629,0.855061994,1.55326594,2.860881025,2.706674346,0.376138108,2.58688811,1.785694701,1.620017437,1.669579557,0.069135773,1.279744236,-1.352747835,-0.16291298,-0.365754127,-0.448556278,2.428761924,0.682775201,1.252873463,2.760382676,2.209229537,1.859501746,2.670041606,0.912440112,-0.153059707,0.886001567,2.121988028,-1.047823165,0.310693838,-3.192811863,-0.881028895,-2.525051959,3.175274183,1.777824851,1.751560892,-0.099192425,2.240918703,0.066875704,0.003600736,0.722823667,3.417098905,2.009015873,2.20701203,0.70750914,1.619631349,1.655385945,1.290780527,1.622438628,1.823127846,0.356046342,0.621407219,-1.566578369,0.010933364,0.566802506,1.137361224,2.829189688,-0.283933915,2.658068542,-1.168136634,-0.1634793,1.832513384,-1.048324341,-3.000428527,1.755983747,1.010992387,1.632600685
ES1,3.3828613,-3.350291819,-2.233013675,0.659346751,-1.706571024,-2.700837862,-0.55486375,2.802600442,1.543160776,1.877077209,0.037205574,1.713047223,2.560754006,0.726217244,-1.461828712,0.378629221,1.981466837,0.564287072,2.321735694,0.819480681,-0.644191611,2.113782902,-0.345083881,2.37669349,0.48622177,2.173312081,1.704664037,2.798268355,-3.692772973,1.344350751,2.365318014,2.458757341,0.456061321,1.980302493,2.603732656,2.023860492,2.221998664,1.540897234,2.582574263,2.228862254,2.079958745,1.144135784,0.019235771,-0.494913306,-1.423832287,0.026668721,-0.223970007,-0.021583133,2.500522572,2.377532112,1.661502625,2.46436582,0.959506342,1.646817315,2.488378396,0.547648382,-0.887544615,2.352869397,0.237483514,-1.862697719,-0.594589969,-4.571481867,-2.137376818,-2.42277778,1.849975496,2.259785324,0.140267997,1.082289644,2.494417695,1.160921265,-0.164153325,1.843522315,3.09886528,2.028316354,-0.531665476,-0.298525775,0.989451815,0.892723142,1.056962024,1.433140955,2.600960554,1.519860443,0.375913578,-4.437903308,-1.311119406,-1.797487534,-0.970798867,1.495409664,-1.573498418,2.661372654,-2.574305731,-0.580496245,1.441967556,-2.055145764,-3.654631929,2.223274187,0.292918599,2.61268998
ES3,3.041818963,-3.031017625,-2.558131735,-0.063790042,-0.701802077,-2.4584225,-0.615140784,1.275299666,1.380252573,0.638929265,0.261694129,1.987034926,2.232227167,1.191340554,-1.070084666,2.177546886,2.468333968,1.68442244,1.3559551,1.269239086,-0.991391374,1.761630444,-0.904264518,1.496065449,-0.228237385,2.101956629,1.401005769,1.757760012,-2.237059128,1.22823083,2.682403799,2.112024878,0.418773666,1.770135667,2.542970081,2.723170153,1.582005812,1.370904819,1.166022923,2.002322526,-0.324956503,0.96037276,0.397520597,-0.137311321,-1.598244517,1.482492009,0.053735691,1.248918448,2.683810913,0.671332844,1.575307142,2.239406924,1.940635338,1.514545547,1.274997831,1.072047677,-0.445470182,1.110785008,0.541399318,-1.048281346,-0.201699821,-1.350631953,-2.10333812,-1.550592858,2.584363122,1.909072986,0.82302409,0.60805223,2.431939222,0.397482813,0.037283313,1.840335896,2.845544784,1.922464457,1.168188749,-0.182774136,1.054212505,1.18626756,0.88736004,0.541372826,1.056037411,2.265948831,0.481004156,-2.386925468,-0.556539258,-0.65199458,0.050368605,2.100559938,0.206446659,2.887749956,-1.05734898,-0.208649401,2.420185042,-1.089331294,-1.823269426,0.572844845,1.072934072,1.409326852
ES5,3.644167169,-3.111534085,-2.410994068,0.520746444,-0.614570556,-2.944632978,-0.361203155,2.413342298,1.528006071,0.616984364,0.159267078,1.115648671,1.83439605,1.8060123,-1.211716348,0.459678126,1.869732421,0.271253385,2.464120878,0.069107109,-0.870428201,0.898588724,-1.783019882,2.128586264,0.709631972,1.558711125,1.486996945,1.952303962,-1.928201487,0.684597066,1.966963572,0.788821228,0.07683538,1.118451174,2.602011113,2.199428814,2.776127154,0.545483424,1.834074672,0.583920657,0.00107401,2.119724919,-0.462749891,-0.123319655,-1.831407236,-1.299173702,-1.029205395,1.017394756,1.872275649,1.439331389,1.316518882,2.479580893,1.846555427,2.03224889,2.272610908,1.294839878,-0.053399547,1.083014047,0.773243085,-0.105223039,1.392394144,-0.666945602,0.148100498,-1.274870149,3.13342079,2.179549853,2.075784306,0.009231364,2.61041558,0.232357971,0.117734628,0.718503305,2.827595393,1.870994481,1.070936317,0.374688867,0.842529558,1.090231587,0.940703128,0.708407261,1.917965166,3.246724311,0.581908571,-1.699033843,-0.42918631,-2.312146038,-0.907972525,2.880526335,0.700554349,2.452329782,-1.096528423,-0.107353687,2.020696223,-1.684574008,-1.232525568,1.688973846,0.736827927,2.496551818
